cost,name
"
            ۹۹۹,۰۰۰
        ","
                    گوشی موبایل آنر مدل 7S DUA-L22 دو سیم‌کارت ظرفیت 16 گیگابایت
            "
"
            ۲,۸۰۹,۰۰۰
        ","
                    گوشی موبایل سامسونگ مدل Galaxy A30s SM-A307G/DS دو سیم کارت ظرفیت 64 گیگابایت
            "
"
            ۲,۵۹۷,۰۰۰
        ","
                    گوشی موبایل سامسونگ مدل Galaxy A30s SM-A307FN/DS دو سیم کارت ظرفیت 32 گیگابایت
            "
"
            ۴,۵۰۰,۰۰۰
        ","
                    گوشی موبایل شیائومی مدل Mi 9T M1903F10G دو سیم‌ کارت ظرفیت 64 گیگابایت
            "
"
            ۱,۱۲۵,۰۰۰
        ","
                    گوشی موبایل هیوندای مدل Seoul Mix دو سیم کارت ظرفیت 32 گیگابایت
            "
"
            ۴,۹۹۹,۰۰۰
        ","
                    گوشی موبایل آنر مدل   View 20 PCT-L29 دوسیم کارت ظرفیت 256 گیگابایت
            "
"
            ۱۹,۲۰۰,۰۰۰
        ","
                    گوشی موبایل اپل مدل iPhone 11 Pro Max A2220 دو سیم‌ کارت ظرفیت 64 گیگابایت
            "
"
            ۱,۷۲۵,۰۰۰
        ","
                    گوشی موبایل آنر مدل 9 Lite LLD-L31 دو سیم کارت ظرفیت 32 گیگابایت
            "
"
            ۲۵۹,۰۰۰
        ","
                    گوشی موبایل نوکیا مدل 2018  106 دو سیم‌ کارت
            "
"
            ۲,۳۶۹,۰۰۰
        ","
                    گوشی موبایل سامسونگ مدل Galaxy M20 SM-M205F/DS Dual SIM دو سیم کارت ظرفیت 32 گیگابایت
            "
"
            ۷,۱۲۹,۰۰۰
        ","
                    گوشی موبایل نوکیا مدل 9 PureView TA-1087 دو سیم کارت ظرفیت 128 گیگابایت
            "
"
            ۱۳۵,۰۰۰
        ","
                    گوشی موبایل بلو مدل Z5 دو سیم کارت
            "
"
            ۲,۶۹۹,۰۰۰
        ","
                    گوشی موبایل شیائومی مدل Redmi Note 7 M1901F7G دو سیم‌ کارت ظرفیت 128 گیگابایت
            "
"
            ۱,۰۳۰,۰۰۰
        ","
                    گوشی موبایل نوکیا مدل 3 دو سیم کارت
            "
"
            ۲,۵۱۰,۰۰۰
        ","
                    گوشی موبایل شیاومی مدل Redmi Note 6 Pro M1806E7TG  دو سیم کارت ظرفیت 64 گیگابایت
            "
"
            ۲,۱۱۹,۰۰۰
        ","
                    گوشی موبایل سامسونگ مدل Galaxy M10s SM-M107F/DS دو سیم کارت ظرفیت 32 گیگابایت
            "
"
            ۲,۵۸۰,۰۰۰
        ","
                    گوشی موبایل هوآوی مدل Y9 2019 JKM-LX1 دو سیم کارت ظرفیت 128 گیگابایت با رم 4 گیگابایت
            "
"
            ۴۱۰,۰۰۰
        ","
                    گوشی موبایل نوکیا مدل 216 دو سیم‌ کارت
            "
"
            ۱,۳۹۹,۰۰۰
        ","
                    گوشی موبایل دوجی مدل X90L دو سیم کارت ظرفیت 32 گیگابایت
            "
"
            ۳,۷۹۹,۰۰۰
        ","
                    گوشی موبایل شیائومی مدل Mi 8 SE M1805E2A دو سیم‌ کارت ظرفیت 64 گیگابایت
            "
"
            ۲,۸۸۰,۰۰۰
        ","
                    گوشی موبایل نوکیا مدل 1046-7Plus TA دو سیم کارت ظرفیت 64 گیگابایت
            "
"
            ۱,۹۹۹,۰۰۰
        ","
                    گوشی موبایل نوکیا مدل 5.1Plus دو سیم کارت ظرفیت ۳۲ گیگابایت
            "
"
            ۱,۱۲۵,۰۰۰
        ","
                    گوشی موبایل نوکیا مدل 2.2 دو سیم کارت ظرفیت 16 گیگابایت
            "
"
            ۲,۷۳۰,۰۰۰
        ","
                    گوشی موبایل نوکیا مدل 6.2 TA-1198DS دو سیم کارت ظرفیت 64 گیگابایت
            "
"
            ۱,۵۱۰,۰۰۰
        ","
                    گوشی موبایل آنر مدل 8A دو سیم کارت ظرفیت 32 گیگابایت
            "
"
            ۸,۴۹۹,۰۰۰
        ","
                    گوشی موبایل دوجی مدل S90 دو سیم کارت ظرفیت 128 گیگابایت همراه با ماژول دوربین عکاسی در شب و گیم پد و پاوربانک
            "
"
            ۱۴,۸۰۰,۰۰۰
        ","
                    گوشی موبایل اپل مدل iPhone X ظرفیت 256 گیگابایت
            "
"
            ۱,۳۴۵,۰۰۰
        ","
                    گوشی موبایل نوکیا مدل 3.2 دو سیم کارت با ظرفیت 16 گیگابایت
            "
"
            ۱,۸۹۷,۰۰۰
        ","
                    گوشی موبایل سامسونگ مدل Galaxy M10 SM-M105G/DS دو سیم‌کارت ظرفیت 16 گیگابایت
            "
"
            ۲,۷۰۰,۰۰۰
        ","
                    گوشی موبایل شیائومی مدل Mi A3 M1906F9SH دو سیم‌ کارت ظرفیت 64 گیگابایت
            "
"
            ۵۷۵,۰۰۰
        ","
                    گوشی موبایل تکنو مدل F2 دو سیم‌ کارت ظرفیت 8 گیگابایت
            "
"
            ۸۹۵,۰۰۰
        ","
                    گوشی موبایل نوکیا مدل 1Plus دو سیم کارت با ظرفیت 8 گیگابایت
            "
"
            ۲۳۹,۰۰۰
        ","
                    گوشی موبایل اُرُد مدل EVE دو سیم کارت
            "
"
            ۳۵۰,۰۰۰
        ","
                    گوشی موبایل مارشال مدل ME-363 دو سیم کارت
            "
"
            ۸۱۰,۰۰۰
        ","
                    گوشی موبایل لاوا مدل z51 دو سیم کارت ظرفیت 8 گیگابایت
            "
"
            ۲۸۹,۰۰۰
        ","
                    گوشی موبایل اُرُد مدل F240D
            "
"
            ۸۳۹,۰۰۰
        ","
                    گوشی موبایل کاترپیلار مدل B25
            "
"
            ۲,۷۰۰,۰۰۰
        ","
                    گوشی موبایل شیائومی مدل Mi A1 MDG2 دو سیم‌ کارت ظرفیت 64 گیگابایت
            "
"
            ۵,۶۹۰,۰۰۰
        ","
                    گوشی موبایل نوکیا مدل 8Sirocco ظرفیت 128 گیگابایت
            "
